,成都,西安,太原,北京,沈阳,长沙,武汉,合肥,济南,广州,福州,杭州
成都,0,2,4,5,7,3,3,4,5,5,6,6
西安,2,0,2,3,5,3,2,3,4,5,5,5
太原,4,2,0,2,3,4,3,3,2,6,5,4
北京,5,3,2,0,2,5,4,3,2,6,5,4
沈阳,7,5,3,2,0,6,5,4,2,7,6,5
长沙,3,3,4,5,6,0,1,4,4,2,2,3
武汉,3,2,3,4,5,1,0,1,3,2,2,2
合肥,4,3,3,3,4,4,1,0,2,3,2,1
济南,5,4,2,2,2,4,3,2,0,5,4,3
广州,5,5,6,6,7,2,2,3,5,0,2,3
福州,6,5,5,5,6,2,2,2,4,2,0,1
杭州,6,5,4,4,5,3,2,1,3,3,1,0
,,,,,,,,,,,,
,,,,,,,,,,,,
成都0,西安1,太原2,北京3,沈阳4,长沙5,,,,,,,
武汉6,合肥7,济南8,广州9,福州10,杭州11,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,成都,西安,太原,北京,沈阳,长沙,武汉,合肥,济南,广州,福州,杭州
成都,0,1,0,4,0,0,2,0,0,4,0,0
西安,1,0,1,0,0,0,1,0,0,0,0,0
太原,0,1,0,1,0,0,2,0,2,0,0,0
北京,0,0,1,0,1,0,0,0,1,4,0,0
沈阳,0,0,0,1,0,0,0,0,0,0,0,0
长沙,0,0,0,0,0,0,1,0,0,1,0,0
武汉,2,1,2,0,0,1,0,1,0,0,2,0
合肥,0,0,0,0,0,0,1,0,0,0,0,1
济南,0,0,2,1,0,0,0,0,0,0,0,2
广州,4,0,0,4,0,1,0,0,0,0,1,0
福州,0,0,0,0,0,0,2,0,0,1,0,1
杭州,0,0,0,0,0,0,0,1,2,0,1,0
